"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2021-03-01","14:30:00",3909.43,"43 Mar 3 3850 P STO 8.75 | 43 Mar 3 3965 C STO 3.90 | 43 Mar 5 3850 P BTO 17.35 | 43 Mar 5 3965 C BTO 8.30",-1310,3859.24,"2021-03-03","09:45:00",-1705,"Exited at Specified Time",16572.2,43,1433816.6,56330,"",206.4,206.4,0.493,0.424,31.36,66.92,34.73,-4.96
"2021-02-22","14:30:00",3899.03,"45 Feb 24 3855 P STO 6.20 | 45 Feb 24 3940 C STO 3.30 | 45 Feb 26 3855 P BTO 13.55 | 45 Feb 26 3940 C BTO 8.25",-1240,3806.65,"2021-02-23","09:51:00",-1080,"Above Delta",-7632,45,1417244.4,55800,"",216,216,0.436,0.833,-21.16,13.48,11.29,-21.37
"2021-02-08","14:30:00",3900.35,"50 Feb 10 3860 P STO 5.10 | 50 Feb 10 3935 C STO 3.15 | 50 Feb 12 3860 P BTO 11.25 | 50 Feb 12 3935 C BTO 8.10",-1120,3926.73,"2021-02-10","09:45:00",-1315,"Exited at Specified Time",9270,50,1424876.4,56000,"",240,240,0.426,0.221,5.76,7.76,18.3,-3.12
"2021-02-01","14:30:00",3780.5,"36 Feb 3 3710 P STO 10.25 | 36 Feb 3 3840 C STO 4.05 | 36 Feb 5 3710 P BTO 19.65 | 36 Feb 5 3840 C BTO 10.20",-1565,3833.57,"2021-02-03","09:45:00",-1390,"Exited at Specified Time",-6645.6,36,1415606.4,56340,"",172.8,172.8,0.479,0.335,16.93,49.33,2.24,-17.25
"2021-01-25","14:30:00",3846.21,"42 Jan 27 3795 P STO 7.10 | 42 Jan 27 3890 C STO 3.70 | 42 Jan 29 3795 P BTO 14.75 | 42 Jan 29 3890 C BTO 9.20",-1325,3775.42,"2021-01-27","09:45:00",-1925,"Exited at Specified Time",24796.8,42,1422252,55650,"",201.6,201.6,0.451,0.625,10.21,-5.47,49.43,-12.45
"2021-01-11","14:30:00",3799.02,"39 Jan 13 3745 P STO 7.75 | 39 Jan 13 3850 C STO 3.40 | 39 Jan 15 3745 P BTO 15.85 | 39 Jan 15 3850 C BTO 9.45",-1425,3798.63,"2021-01-13","09:45:00",-1080,"Exited at Specified Time",-13829.4,39,1397455.2,55575,"",187.2,187.2,0.441,0.095,-21.54,-4.12,3.16,-28.77
"2021-01-04","14:30:00",3691.81,"36 Jan 6 3615 P STO 10.70 | 36 Jan 6 3760 C STO 5.40 | 36 Jan 8 3615 P BTO 20.00 | 36 Jan 8 3760 C BTO 11.50",-1550,3724.76,"2021-01-06","09:45:00",-1245,"Exited at Specified Time",-11325.6,36,1411284.6,55800,"",172.8,172.8,0.511,0.122,8.54,-72.8,13.87,-22.58
"2020-12-14","14:30:00",3665.21,"49 Dec 16 3610 P STO 8.35 | 49 Dec 16 3715 C STO 3.80 | 49 Dec 18 3610 P BTO 14.65 | 49 Dec 18 3715 C BTO 8.80",-1140,3691.51,"2020-12-16","09:45:00",-1480,"Exited at Specified Time",16189.6,49,1422610.2,55860,"",235.2,235.2,0.518,0.195,11.81,-10.06,30.7,-6.14
"2020-12-07","14:30:00",3685.82,"47 Dec 9 3650 P STO 5.55 | 47 Dec 9 3725 C STO 2.60 | 47 Dec 11 3650 P BTO 12.35 | 47 Dec 11 3725 C BTO 7.50",-1180,3711.68,"2020-12-09","09:45:00",-1080,"Exited at Specified Time",-5151.2,47,1406420.6,55460,"",225.6,225.6,0.411,0.117,-4.39,-8.91,0,-13.56
"2020-11-30","14:30:00",3615.83,"47 Dec 2 3570 P STO 6.70 | 47 Dec 2 3665 C STO 3.40 | 47 Dec 4 3570 P BTO 13.50 | 47 Dec 4 3665 C BTO 8.35",-1185,3677.78,"2020-12-01","14:16:00",-1155,"Below Delta",-1861.2,47,1411571.8,55695,"",225.6,225.6,0.462,0.652,-4.17,-18.35,9.7,-2.11
